file,label,features,feat_len
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/car_extcoll0163.mp3,Paining,"[-391.9957275390625, 74.8802261352539, 15.747711181640625, 7.147735118865967, 16.360376358032227, 7.638324737548828, 0.5459117889404297, 4.326986789703369, 5.679280757904053, 9.411553382873535, 4.410022258758545, 4.5740180015563965, -0.5613315105438232, 1.5585218667984009, 6.1624321937561035, 0.5270213484764099, -0.981898307800293, 0.25433170795440674, -2.4090120792388916, 3.345252513885498, 1.3665801286697388, -0.5532321929931641, 0.3295232057571411, 0.09056040644645691, 0.39589008688926697, 0.025786470621824265, 0.18125338852405548, 0.15927571058273315, -0.1782446801662445, -0.10344310849905014, -0.04340058192610741, 0.10321465134620667, 0.18182609975337982, -0.03177637979388237, -0.06679078191518784, 0.09189250320196152, 0.018177678808569908, 0.06113418936729431, -0.09563887864351273, -0.14197339117527008, -0.7809674143791199, -0.09164121747016907, 0.041989658027887344, -0.0951332077383995, -0.035240791738033295, -0.039010778069496155, -0.05171745643019676, 0.006179557181894779, -0.028020638972520828, 0.023579023778438568, 0.03468213230371475, -0.059894971549510956, -0.0019278929103165865, 0.05055299028754234, -0.04601782187819481, 0.004035440273582935, -0.041229430586099625, -0.046839114278554916, 0.024433495476841927, -0.012309065088629723, 2874.221947366349, 0.032644569873809814, 6478.767533735795]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/cat_flickr0192.mp3,Paining,"[-96.15435791015625, 57.398109436035156, -8.25996208190918, 40.252864837646484, 25.70710563659668, 8.87091064453125, 0.6406194567680359, 18.955947875976562, 4.472928047180176, 1.5849058628082275, -3.6192474365234375, 11.901658058166504, -2.2553887367248535, 3.754737615585327, -2.771650552749634, -3.6330533027648926, 6.152797698974609, 2.5180280208587646, 0.30994683504104614, -6.764732360839844, 0.4234735071659088, 0.01157571654766798, -0.01115590613335371, 0.059647154062986374, 0.04737367108464241, 0.02480272389948368, 0.05458083376288414, 0.06858623027801514, 0.011052679270505905, -0.0063605536706745625, 0.07829859107732773, -0.01631946861743927, -0.03025783784687519, -0.013221603818237782, -0.010340617969632149, 0.01590680703520775, 0.015387811698019505, -0.00022526024258695543, -0.009775630198419094, -0.0064571755938231945, -0.32307887077331543, -0.018535060808062553, 0.01207658089697361, -0.006646286230534315, -0.00625617103651166, 0.004667571280151606, 0.00429962994530797, -0.0007306591141968966, 0.0027352210599929094, -0.005736023187637329, -0.018596766516566277, 0.00014899515372235328, 0.0166755560785532, -0.010998005047440529, -0.0147100193426013, 0.0012195487506687641, 0.0006636354373767972, 0.006719339173287153, 0.009642016142606735, -0.0004928214475512505, 2866.471602840932, 0.02836751751601696, 5979.361279517817]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/LastEntry_cat1285Hpy_aug1(1).mp3,Paining,"[-344.578857421875, 113.1396484375, -57.967201232910156, 30.11785125732422, -25.523801803588867, 6.818352699279785, -8.893531799316406, -11.896663665771484, 4.22660493850708, -18.10044288635254, 1.708048939704895, -14.1074857711792, 4.02900505065918, 8.07015323638916, -9.047664642333984, -2.004953384399414, -17.13022232055664, -2.5513155460357666, 5.456568717956543, -0.144327312707901, 0.5233594179153442, 0.09266837686300278, -0.2338220328092575, -0.09015738219022751, -0.13043667376041412, 0.06226782128214836, -0.15123875439167023, -0.15979407727718353, 0.06362089514732361, 0.014010458253324032, -0.05072510614991188, -0.07339154928922653, 0.009508567862212658, -0.03472643345594406, 0.032064877450466156, 0.10553023219108582, -0.020280184224247932, -0.023682542145252228, -0.06716865301132202, -0.07720929384231567, -0.3291959762573242, -0.053758736699819565, 0.08959637582302094, -0.06257310509681702, 0.038588959723711014, -0.02962845377624035, 0.04910209774971008, 0.0343974307179451, -0.05863194912672043, -0.010525941848754883, 0.02532917447388172, 0.06991974264383316, -0.004563642665743828, 0.0017230163794010878, 0.019327843561768532, 0.0010075154714286327, 0.04959568381309509, -0.01994526945054531, -0.0112223532050848, 0.03729270026087761, 1906.1376806977612, 0.0010024080984294415, 3508.683312457541]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/Cat_YoutubeLLT42375_aug1(1).mp3,Paining,"[-305.3072509765625, 2.4048757553100586, -15.15300178527832, 10.104998588562012, -1.9882516860961914, -12.056015968322754, -9.3118896484375, 2.638450860977173, 0.5937259793281555, -2.546992063522339, 0.332703560590744, -4.603846549987793, -3.2416017055511475, 2.4109511375427246, -0.1616475135087967, -0.15002509951591492, 1.872894287109375, -0.9318866729736328, -0.23706023395061493, -1.3779854774475098, 0.33600741624832153, -0.12583300471305847, -0.13289597630500793, -0.019611328840255737, 0.021935736760497093, 0.020284347236156464, 0.014055166393518448, -0.009216572158038616, -0.002121363067999482, -0.011905869469046593, -0.007399588357657194, -0.028326062485575676, -0.0303609948605299, 0.0008876857464201748, 0.013748071156442165, 0.0007499545463360846, 0.0047565787099301815, 0.006524214055389166, -0.003376519540324807, 0.01582258939743042, -0.4038310647010803, -0.12815189361572266, -0.0767437294125557, 0.0036133420653641224, 0.05510779470205307, 0.06270364671945572, 0.035582270473241806, 0.004731897730380297, 0.016193527728319168, 0.019751790910959244, 0.010815614834427834, 0.008525165729224682, 0.01988956891000271, 0.022940827533602715, 0.016135508194565773, 0.018518690019845963, 0.021579956635832787, -0.007837717421352863, 0.010951762087643147, 0.03936876356601715, 3997.889469656883, 0.14182502031326294, 7618.374952629431]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/Cat_YoutubeLLT42388_aug1(1).mp3,Paining,"[-230.95748901367188, 26.092378616333008, -31.48017692565918, -14.064542770385742, -8.093584060668945, -4.374601364135742, -9.248865127563477, -8.896746635437012, -11.038046836853027, -9.734323501586914, -8.384988784790039, -4.159551620483398, 2.596310615539551, 3.978477954864502, -1.6927170753479004, -7.700592041015625, -5.648077011108398, 2.496493339538574, 6.262362957000732, -1.5546752214431763, -3.16103196144104, -1.0320281982421875, 0.7185328602790833, 0.40174606442451477, 0.13209520280361176, 0.10153578221797943, 0.0626811683177948, 0.1138635128736496, 0.024595696479082108, 0.11349745839834213, 0.23975904285907745, 0.17824026942253113, 0.05442483723163605, -0.13990518450737, -0.2511722445487976, 0.09847564995288849, 0.1900450438261032, -0.006151685491204262, -0.1699204444885254, -0.1542498916387558, 0.09856481105089188, 0.2957560122013092, 0.17837277054786682, 0.029639307409524918, -0.0429651103913784, -0.10723882168531418, -0.036724384874105453, 0.10263758152723312, 0.08493272960186005, 0.1036454364657402, 0.05171807110309601, -0.049027878791093826, -0.07808593660593033, 0.06402283906936646, 0.045625485479831696, 0.0803280621767044, -0.02037758007645607, -0.03632501885294914, 0.014316985383629799, -0.008964784443378448, 3679.2367621212334, 0.17018453776836395, 6955.121084359976]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/car_extcoll0188.mp3,Paining,"[-249.4275360107422, 148.23703002929688, -82.9913101196289, 16.16497802734375, -30.156667709350586, -5.7764129638671875, -5.6172261238098145, -22.451587677001953, 8.378493309020996, -28.722501754760742, -7.031989574432373, -7.291888236999512, -18.034364700317383, 11.228056907653809, -5.296325206756592, 4.005731105804443, -3.44423508644104, -10.757783889770508, 7.002155780792236, -5.387795448303223, 1.490910530090332, 0.21495266258716583, -0.7312898635864258, 0.7899807095527649, 0.02388499118387699, 0.05901257321238518, -0.3515242636203766, -0.4259874224662781, 0.16172486543655396, -0.4099542498588562, -0.04386916384100914, 0.11328849196434021, -0.16530919075012207, 0.2546972632408142, 0.10081686824560165, -0.0852668434381485, -0.13137102127075195, -0.07131627947092056, -0.029839737340807915, -0.2904103994369507, -0.39979875087738037, -0.38743355870246887, 0.5270404815673828, -0.41387656331062317, 0.2369489222764969, 0.07105540484189987, -0.015086788684129715, 0.23522987961769104, -0.08222043514251709, 0.16436871886253357, 0.046175312250852585, 0.058316875249147415, 0.06354212760925293, -0.2220693975687027, 0.03367997333407402, 0.0001697376137599349, 0.07244498282670975, 0.24757368862628937, 0.10938958078622818, 0.10856360197067261, 1620.0237050180558, 0.0012981287436559796, 2717.3966117527175]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/Online_Cat0519Hpy.mp3,Paining,"[-230.40228271484375, 61.39045333862305, -36.38069152832031, -5.764604091644287, -12.239725112915039, 17.7175235748291, 1.6257911920547485, 1.5644536018371582, -3.6684024333953857, 1.9935972690582275, 2.7522969245910645, 5.02462100982666, 19.02519416809082, 6.048425674438477, 5.458209037780762, -7.846837997436523, -2.419058084487915, 8.099627494812012, 2.7686920166015625, -7.791417598724365, 0.5183217525482178, -0.9326932430267334, -0.45264092087745667, 0.3163609802722931, -0.1425551325082779, 0.29215294122695923, -0.12573973834514618, -0.04986272379755974, 0.17055347561836243, 0.31051620841026306, 0.20041440427303314, 0.1946660578250885, 0.2203029841184616, -0.1847025454044342, -0.11230047047138214, -0.2908429503440857, -0.201732337474823, 0.08475489169359207, 0.06612879037857056, -0.09618398547172546, -1.9448541402816772, -0.07803905755281448, 0.3099242150783539, 0.14342689514160156, 0.25842344760894775, -0.02732548862695694, 0.030191194266080856, 0.24250486493110657, 0.10881532728672028, -0.05585809051990509, -0.03981179744005203, -0.03122524917125702, -0.11814103275537491, -0.07915527373552322, -0.0007746070623397827, 0.0425114631652832, 0.036042988300323486, 0.07994095236063004, 0.150027334690094, 0.11737614870071411, 2571.972598060984, 0.018450982868671417, 4577.656173706055]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/Online_Cat0473Hpy_aug1(1).mp3,Paining,"[-362.72100830078125, 50.256813049316406, -31.135013580322266, 8.63696575164795, 14.273656845092773, 1.904144048690796, -10.070084571838379, 10.317972183227539, -7.543846130371094, -3.8188767433166504, -3.1054275035858154, 1.510409951210022, -0.158673495054245, 18.317066192626953, 6.167121410369873, 2.2956316471099854, -10.467596054077148, 1.4605332612991333, 7.226229667663574, 6.242142677307129, -0.21536093950271606, -0.18846718966960907, -0.137689009308815, -0.034740813076496124, 0.026365501806139946, -0.07004501670598984, -0.03603563457727432, 0.015619471669197083, -0.012365369126200676, 0.030267173424363136, -0.008800451643764973, 0.038634978234767914, 0.039366092532873154, 0.01970183290541172, -0.00021378890960477293, 0.04541531577706337, 0.06241977959871292, -0.0836803987622261, -0.04231385141611099, 0.029549958184361458, -0.20108704268932343, -0.035550061613321304, 0.12581869959831238, 0.08384718745946884, -0.030550500378012657, 0.014132661744952202, 0.073299340903759, 0.05979612469673157, 0.06578860431909561, 0.050606869161129, 0.049445752054452896, 0.016254696995019913, -0.024430731311440468, -0.040412772446870804, -0.06464991718530655, -0.03534507006406784, 0.05079464986920357, 0.056231193244457245, 0.028508393093943596, -0.00024053498054854572, 2713.7045857825947, 0.016468381509184837, 5136.293096127717]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/cat_flickr0192_aug1(1).mp3,Paining,"[-178.4805908203125, 44.796504974365234, -6.6232147216796875, 33.96205139160156, 20.301393508911133, 7.485879421234131, -0.01495941262692213, 15.785625457763672, 3.1622743606567383, 1.6010613441467285, -2.908609390258789, 9.967926025390625, -1.5539718866348267, 3.125962734222412, -1.3351154327392578, -3.319065570831299, 5.25619649887085, 3.271876573562622, 0.5065321326255798, -6.326213836669922, 2.1529810428619385, 0.2564527094364166, -0.059213872998952866, 0.16683298349380493, 0.15471354126930237, 0.040216684341430664, -0.00606189901009202, 0.08738784492015839, 0.00914322305470705, -0.018590914085507393, -0.05517420172691345, 0.03878593444824219, 0.018133027479052544, -6.339129413390765e-06, -0.020276058465242386, 0.0010444654617458582, -0.04002905637025833, -0.05958756059408188, 0.07320405542850494, 0.014783764258027077, -0.017232879996299744, -0.005872702691704035, 0.000819371547549963, 0.013422105461359024, 0.025755884125828743, 0.01221082080155611, -0.006382985506206751, -0.019269585609436035, -0.002959078410640359, -0.01234162226319313, 0.01426547672599554, 0.0023655719123780727, -0.006084705702960491, -0.0032618034165352583, 0.005871577654033899, 0.001882402109913528, 0.0036339026410132647, 0.011201489716768265, 0.006988581269979477, 0.0006703424151055515, 2451.0183981311043, 0.19695903360843658, 5061.033499186934]",63
data/audio_cat-classification/NAYA_DATA_AUG1X/Paining/Last_addCat129589Res_aug1(1).mp3,Paining,"[-197.4882049560547, 82.4207534790039, -10.205796241760254, -0.6760096549987793, -1.7339515686035156, -6.498597145080566, -13.523958206176758, -13.953520774841309, -3.79211163520813, -4.948206901550293, -6.6577606201171875, -8.563619613647461, -3.502659320831299, -4.702769756317139, -1.3856927156448364, -1.5262994766235352, -3.900228261947632, -3.946122884750366, -4.256113529205322, -7.895280838012695, 0.735677182674408, 0.05246932432055473, -0.2078007608652115, -0.05727903172373772, 0.13701583445072174, 0.011619108729064465, 0.03159007057547569, -0.035825710743665695, 0.005692638922482729, 0.006650538183748722, -0.025502078235149384, 0.05759197473526001, 0.05875351279973984, 0.17875808477401733, 0.15542440116405487, -0.005580517929047346, -0.10388446599245071, -0.12454822659492493, -0.10726422816514969, -0.09235069155693054, -0.4639926254749298, -0.07617446035146713, 0.1402779072523117, 0.047991082072257996, -0.05018044635653496, -0.02894747443497181, 0.009673809632658958, 0.0029652873054146767, 0.02123020961880684, -0.002986456034705043, 0.001002024975605309, 0.011600837111473083, -0.03582117334008217, -0.047810085117816925, -0.04668794572353363, 0.002504306845366955, 0.08386450260877609, 0.01758485473692417, -0.042872536927461624, -0.0016246309969574213, 2599.9464108682578, 0.03032485768198967, 5622.278450108782]",63
