,file,category,features,feat_len,category
2333,data/audio_cat-classification/NAYA_DATA_AUG1X/Mating/cat03116.mp3,cat,"[-416.00640869140625, 125.64179229736328, -2.634927272796631, 3.393033027648926, 7.298089504241943, -8.754055976867676, -7.117441177368164, 1.9483158588409424, -3.6584880352020264, -9.33415412902832, -9.711899757385254, 2.1227259635925293, 2.4076268672943115, -0.45557695627212524, -1.5992742776870728, -6.402819633483887, -0.5321210622787476, -5.938443183898926, 0.08769172430038452, -2.276900291442871, 0.29272642731666565, 0.11673218756914139, -0.08398441225290298, -0.11575958877801895, -0.020169705152511597, -0.06390783935785294, 0.004880316089838743, -0.004247888457030058, 0.0017042752588167787, 0.001991508761420846, -0.04086965322494507, -0.042076870799064636, -0.01563340239226818, -0.045706700533628464, -0.015927771106362343, 0.035378798842430115, 0.013962988741695881, 0.017118459567427635, 0.048372942954301834, 0.04532301425933838, -0.43845677375793457, -0.10213429480791092, 0.03039630688726902, 0.021203555166721344, 0.02237521857023239, 0.012431377544999123, -0.0010267820907756686, -0.0018792335176840425, 0.024288084357976913, 0.020915979519486427, 0.023282205685973167, 0.00920903030782938, -0.011495502665638924, -0.0032075042836368084, -0.019238531589508057, -0.022499937564134598, -0.018708709627389908, -0.004934962838888168, -0.02687753364443779, 0.031217338517308235, 1713.8483765678604, 0.015005779452621937, 3347.7958922173566]",63,cat
1268,data/audio_cat-classification/NAYA_DATA_AUG1X/Happy/Edit9102Hpy_aug1(1).mp3,cat,"[-314.7190246582031, 83.96440887451172, -27.685272216796875, 19.3883113861084, -13.427407264709473, 12.019762992858887, -9.532001495361328, 5.524891376495361, -4.032205581665039, 0.8878766894340515, -2.3210020065307617, -2.1962311267852783, 0.9912760257720947, -5.541618824005127, 3.6131646633148193, -1.6928448677062988, 4.015973091125488, -3.391742467880249, -2.3048152923583984, -2.9739859104156494, 2.1432182788848877, 0.747043251991272, -0.20809079706668854, 0.19577360153198242, -0.17553023993968964, 0.06819575279951096, -0.06579489260911942, 0.03182967007160187, -0.05789337307214737, -0.002749689621850848, 0.013698503375053406, -0.031289830803871155, 0.020795224234461784, -0.007045702543109655, 0.008334091864526272, -0.03779012709856033, 0.019870104268193245, -0.03316420689225197, -0.01512951496988535, -0.03608768805861473, -0.04738137871026993, -0.039028480648994446, 0.03067072667181492, 0.026372266933321953, 0.046208705753088, -0.019849631935358047, 0.015032337047159672, -0.004538957495242357, 0.0019131499575451016, -0.005077345762401819, 0.02178102545440197, 0.010900222696363926, 0.020478950813412666, 0.030916880816221237, 0.011435630731284618, 0.015237865038216114, -0.014172215014696121, -0.004996152129024267, -0.028286421671509743, -0.01834130473434925, 1171.9471331243453, 0.39327943325042725, 2151.3015747070312]",63,cat
4078,data/audio_cat-classification/NAYA_DATA_AUG1X/HuntingMind/Cat_YoutubeLLT42391.mp3,cat,"[-380.6581726074219, 125.11058044433594, -12.571922302246094, 21.307329177856445, 7.134706020355225, 14.410858154296875, 3.9766316413879395, 4.9948530197143555, 5.159163951873779, -1.2262428998947144, 1.4090977907180786, 8.139904022216797, 7.166516304016113, 3.356799364089966, 1.1806820631027222, -0.16795119643211365, -5.193596363067627, -1.1502565145492554, -1.2276732921600342, 1.4275749921798706, 0.3494550585746765, 0.25012272596359253, 0.23172800242900848, -0.10936908423900604, 0.021702272817492485, 0.015518301166594028, 0.0315445214509964, -0.07145668566226959, 0.0008415805641561747, 0.0768275111913681, 0.1738109439611435, 0.12477296590805054, 0.0814560204744339, 0.20134182274341583, -0.026594804599881172, -0.05032338574528694, 0.04103383421897888, 0.03288353979587555, 0.062338147312402725, 0.06472385674715042, -0.6522699594497681, -0.33296942710876465, -0.008662979118525982, 0.0038766220677644014, -0.03257696330547333, -0.031176771968603134, 0.056164905428886414, 0.01046229898929596, -0.04293813556432724, -0.04481391981244087, -0.01264923345297575, -0.04273548722267151, -0.03628247231245041, 0.0023780609481036663, 0.04720861464738846, 0.03480725362896919, -0.011029710061848164, -0.00864484068006277, -0.014454130083322525, -0.0793927013874054, 1641.4387140998608, 0.008125628344714642, 2966.8220600328946]",63,cat
4447,data/audio_cat-classification/NAYA_DATA_AUG1X/Fighting/car_extcoll0256.mp3,cat,"[-107.70047760009766, -18.80122184753418, -62.367462158203125, 27.354244232177734, -32.48727798461914, 12.520456314086914, -15.836955070495605, 14.17545223236084, -16.747283935546875, 8.209722518920898, -26.24875831604004, 7.764054775238037, -11.665005683898926, -6.743517875671387, -3.7129924297332764, -3.851126194000244, -1.6877260208129883, -4.254892826080322, 7.669334411621094, 1.6336251497268677, -0.6486068367958069, 1.328182578086853, 0.5382216572761536, -0.8521373271942139, 0.13342733681201935, -0.2932325601577759, 0.25550809502601624, -0.336262971162796, -0.30832377076148987, 0.6385927796363831, 0.5412620902061462, -0.01488548144698143, 0.0510670505464077, -0.11640740931034088, 0.015629803761839867, 0.35562437772750854, -0.1628427356481552, -0.09032578766345978, -0.19249217212200165, -0.27066531777381897, -0.437903493642807, 0.012099078856408596, -0.26995325088500977, 0.033996883779764175, -0.10222231596708298, -0.1668388843536377, -0.13415536284446716, 0.07583945989608765, -0.007139679044485092, 0.04731384664773941, -0.07792925834655762, -0.11552643030881882, 0.023760180920362473, 0.08787915110588074, 0.07472150772809982, 0.1254565268754959, 0.04907563328742981, -0.05228036642074585, 0.036004241555929184, -0.08604037016630173, 4207.498041085506, 0.06889671087265015, 6961.586692116477]",63,cat
4006,data/audio_cat-classification/NAYA_DATA_AUG1X/HuntingMind/cat_youtube01273.mp3,cat,"[-278.23944091796875, 79.52576446533203, -38.5294075012207, 33.408302307128906, -14.378211975097656, 2.7730960845947266, 4.673893451690674, 18.04959487915039, -6.0569353103637695, -5.74052619934082, -13.219585418701172, 6.707946300506592, 9.115522384643555, 1.847601056098938, -4.399775505065918, 2.530211925506592, -9.25303840637207, -5.434858798980713, 0.3393482267856598, 3.8793110847473145, 0.5972801446914673, 0.028186049312353134, -0.02862711250782013, 0.08523333072662354, -0.08040671795606613, 0.08217981457710266, 0.15631899237632751, 0.05667538195848465, -0.08673012256622314, 0.08539918065071106, 0.06276515126228333, -0.06837481260299683, -0.09158137440681458, -0.04994671791791916, 0.0045392513275146484, -0.019695483148097992, -0.00826197862625122, 0.040102988481521606, 0.07306322455406189, -0.0273953378200531, -0.7559490203857422, 0.017859462648630142, 0.10687361657619476, -0.0289524644613266, 0.007946420460939407, 0.013504508882761002, -0.012016728520393372, -0.09784705191850662, -0.04722459241747856, 0.02611890435218811, 0.039125390350818634, -0.05479816347360611, -0.07050858438014984, 0.01704912818968296, 0.06335961818695068, -0.002222854644060135, -0.03339084982872009, 0.04612461104989052, -0.017017286270856857, -0.0855114758014679, 2628.14153372239, 0.039051130414009094, 4587.41340637207]",63,cat
3365,data/audio_cat-classification/NAYA_DATA_AUG1X/Angry/LastEntry_cat1278Ang.mp3,cat,"[-188.485107421875, 128.19119262695312, -27.62259864807129, -3.240039348602295, -16.07923126220703, -0.7911171913146973, -7.200599193572998, -6.457209587097168, -0.8187510967254639, -7.207533359527588, -7.410843849182129, -0.6281976103782654, -7.549439907073975, -11.366711616516113, -10.746809959411621, 8.298991203308105, -3.244844913482666, 6.218461990356445, 5.833554744720459, 3.343808174133301, 0.2793915867805481, 0.09779313951730728, -0.09838110208511353, -0.019379872828722, 0.0514550544321537, 0.04086431488394737, -0.008181162178516388, 0.0349317267537117, -0.026471393182873726, -0.06902270019054413, -0.04784397408366203, -0.06326723098754883, -0.014468472450971603, 0.0375160314142704, 0.012466620653867722, 0.012912834994494915, 0.038753192871809006, -0.022971129044890404, -0.08009243756532669, -0.008304156363010406, -0.31133779883384705, -0.07765166461467743, 0.052958182990550995, -0.03193072974681854, 0.023164398968219757, -0.03374651446938515, -0.028419874608516693, -0.02092895656824112, -0.0027495240792632103, -0.00026714365230873227, 0.02522869221866131, 0.025922510772943497, 0.015778085216879845, 0.032658446580171585, 0.030651474371552467, 0.007598054129630327, -0.0034297266975045204, 0.027802538126707077, 0.014099330641329288, -0.012844511307775974, 1535.5232657884164, 0.005921153351664543, 2789.3389796711385]",63,cat
3247,data/audio_cat-classification/NAYA_DATA_AUG1X/Angry/cat_flickr01479.mp3,cat,"[-198.80311584472656, 195.1132354736328, -51.84786605834961, -24.278846740722656, 16.564977645874023, -22.43412971496582, -7.338010311126709, 5.656144618988037, -21.00588607788086, -5.592294692993164, 8.779033660888672, -9.779580116271973, -4.779818534851074, 2.001748561859131, -10.322416305541992, -3.92730450630188, 1.3725553750991821, -9.213214874267578, -5.325282096862793, -1.7210432291030884, 0.3508693277835846, 0.20953033864498138, -0.16241857409477234, 0.01644127629697323, 0.08944307267665863, -0.07196268439292908, -0.04521913826465607, -0.011412927880883217, -0.07251846045255661, -0.03101334720849991, -0.014400888234376907, -0.08934357017278671, -0.04929179325699806, 0.03979630768299103, 0.007722976617515087, -0.01831742562353611, -0.009688619524240494, -0.01930207572877407, -0.008168680593371391, -0.0037952284328639507, -0.159537672996521, -0.11608792096376419, 0.05118805542588234, -0.005730622448027134, -0.04739029332995415, 0.030983375385403633, 0.02512258104979992, 0.004867112264037132, 0.042067211121320724, 0.022120343521237373, 0.003420888911932707, 0.031559303402900696, 0.023813655599951744, 0.005102908238768578, 0.01843484677374363, 0.020448654890060425, 0.018515590578317642, 0.020777985453605652, 0.006810749880969524, 0.0004521107766777277, 995.2061476600514, 0.0003282868128735572, 1648.62509765625]",63,cat
3841,data/audio_cat-classification/NAYA_DATA_AUG1X/HuntingMind/catchatter237.mp3,cat,"[-632.3541259765625, 95.50902557373047, -20.3548583984375, 13.146668434143066, -4.48096227645874, 18.107505798339844, -19.012582778930664, -1.5622402429580688, -1.3229496479034424, -6.569398880004883, -11.79942512512207, -10.82075023651123, 3.0481839179992676, -8.511540412902832, 0.010224159806966782, -4.922229290008545, -1.254562258720398, -3.778298854827881, -3.9040915966033936, -3.625541925430298, -0.49072882533073425, -0.11121634393930435, 0.2390785962343216, 0.2989330589771271, 0.18693093955516815, 0.0477079339325428, 0.07458361238241196, -0.0819581001996994, -0.04112546890974045, -0.041815467178821564, -0.020837362855672836, 0.058762047439813614, 0.12279468029737473, 0.08686932176351547, -0.05274117365479469, 0.02265670709311962, -0.11504131555557251, -0.11488908529281616, -0.08690862357616425, -0.08470597863197327, -0.14679747819900513, 0.06269720941781998, 0.06342001259326935, -0.03747453913092613, -0.02103669010102749, -0.08550607413053513, -0.057801779359579086, -0.07025932520627975, -0.05862652137875557, 0.0035161185078322887, 0.03035474568605423, 0.026994137093424797, 0.03192663565278053, 0.0132595868781209, -0.012096993625164032, 0.0072694034315645695, 0.019981196150183678, -0.014906099066138268, -0.006693895906209946, -0.027698606252670288, 2286.9201720776314, 0.031724538654088974, 4915.125420752992]",63,cat
5040,data/audio_cat-classification/NAYA_DATA_AUG1X/MotherCall/Online_Cat0447Pil.mp3,cat,"[-321.9049987792969, 60.14496612548828, -36.267051696777344, 23.621240615844727, 15.564457893371582, 7.505926132202148, 16.19315528869629, 25.179101943969727, -4.50302791595459, 6.138250350952148, -12.446492195129395, 26.44957160949707, 1.3051495552062988, 3.4795565605163574, -2.195108413696289, 0.22663933038711548, -2.5203189849853516, 2.2967140674591064, 1.6508324146270752, 8.997958183288574, 0.627280056476593, 0.2847987413406372, 0.07285100221633911, 0.21151898801326752, -0.05820769816637039, 0.027077751234173775, 0.01395694725215435, -0.051040470600128174, -0.05342838168144226, 0.2003955841064453, 0.015158846974372864, -0.05659935250878334, -0.036495041102170944, 0.013923325575888157, 0.052518244832754135, -0.0009686429402790964, 0.11063472926616669, 0.032110199332237244, 0.06665655970573425, -0.09957356005907059, -1.3897624015808105, -0.6208940148353577, 0.07058877497911453, -0.2512638568878174, 0.03372781723737717, -0.09155231714248657, -0.039217256009578705, -0.08580464869737625, -0.07603081315755844, -0.1706371158361435, -0.0415787510573864, 0.029241206124424934, -0.017334073781967163, -0.07748843729496002, -0.061365436762571335, -0.003236751537770033, -0.1069328635931015, 0.005299595184624195, 0.06808899343013763, -0.003982975613325834, 2748.281154713149, 0.032198403030633926, 4558.335329451651]",63,cat
2858,data/audio_cat-classification/NAYA_DATA_AUG1X/Warning/cat_flickr01311_aug1(1).mp3,cat,"[-141.33627319335938, 65.07861328125, -22.956382751464844, 17.272523880004883, -0.28199464082717896, 33.333457946777344, -10.05982780456543, 14.065546989440918, 27.129304885864258, 8.2529935836792, 18.15032958984375, 1.7578177452087402, 19.32136344909668, 9.440027236938477, -2.772073268890381, 11.546675682067871, 9.24140453338623, 6.397961139678955, 1.3187540769577026, 0.6814019083976746, 0.9274484515190125, 0.13910284638404846, 0.045438311994075775, -0.06536972522735596, 0.20777538418769836, -0.11493060737848282, -0.24748334288597107, -0.040616266429424286, 0.196780264377594, 0.1680336892604828, -0.01655726321041584, 0.046903010457754135, 0.017146145924925804, 0.06667809933423996, -0.003669662866741419, -0.03553176298737526, -0.14893296360969543, -0.034788407385349274, 0.1393035650253296, 0.053781673312187195, -1.4832795858383179, -0.22931620478630066, 0.19382864236831665, 0.06450062990188599, 0.2531227469444275, 0.29041606187820435, 0.15576249361038208, 0.07052645087242126, -0.09031950682401657, -0.1161404624581337, 0.03076576441526413, 0.15056680142879486, 0.019909339025616646, -0.013901953585445881, -0.024792246520519257, -0.11338544636964798, -0.01212310791015625, 0.011404450982809067, -0.11044175922870636, -0.16131719946861267, 2609.8287559320283, 0.011467423290014267, 5523.2666015625]",63,cat
