,filepath,category,fold,filename,features
0,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-100032-A-0.wav,dog,1.0,,"[-6.00823914e+02  4.54307461e+00 -8.35609627e+00 -4.40435743e+00
 -6.95486844e-01 -2.07582760e+00 -1.90937296e-01  7.37152338e-01
  9.17227566e-01  3.56676519e-01 -3.77696007e-01 -3.41819763e-01
 -7.47663975e-01  3.47226381e-01  4.29761969e-02 -4.44057345e-01
 -9.93921995e-01 -2.00930893e-01 -1.54711409e-02  3.73929232e-01
 -1.41285085e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -4.41515891e-09  8.83031781e-09  5.51894863e-10  0.00000000e+00
  0.00000000e+00  0.00000000e+00  2.20757945e-09  1.10378973e-09
  0.00000000e+00 -1.10378973e-09  1.10378973e-09  0.00000000e+00
  0.00000000e+00 -1.10378973e-09  2.20757945e-09  0.00000000e+00
  0.00000000e+00  0.00000000e+00  8.83031781e-09  0.00000000e+00
 -2.20757945e-09  2.20757945e-09  0.00000000e+00 -1.10378973e-09
  1.10378973e-09  0.00000000e+00  5.51894863e-10 -5.51894863e-10
 -5.51894863e-10  1.10378973e-09  0.00000000e+00  0.00000000e+00
  1.10378973e-09  1.10378973e-09  1.37973716e-10 -8.27842295e-10
  2.25762598e+02  9.16157424e-01  3.43733724e+02]"
1,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-100038-A-14.wav,chirping_birds,1.0,,"[-1.91370438e+02 -9.37161326e-01 -5.57579994e+01  8.51667345e-01
 -4.44951706e+01 -3.14262295e+01 -2.77229614e+01 -9.88137722e+00
 -3.51874237e+01 -1.71582680e+01 -1.48727531e+01 -2.41945171e+01
 -1.10443735e+01 -1.58786736e+01 -8.86479855e+00 -1.18776321e+01
 -6.38100576e+00 -2.90826893e+00 -4.15702486e+00  6.97748661e+00
 -2.62640677e-02  7.25709796e-02  3.62596475e-02  1.23051219e-01
 -3.13935243e-02 -2.14861371e-02 -1.18062370e-01  7.83288181e-02
  2.25671977e-02  1.16325310e-03  1.15895502e-01  9.13575292e-02
 -1.80720210e-01  3.97921465e-02  7.52547383e-02 -1.38551043e-02
 -1.91291168e-04  1.18452124e-01 -1.08132027e-01 -8.28707032e-03
  2.52454802e-02 -2.33909208e-02  1.26466490e-02  4.56437543e-02
  2.25782618e-02  1.76891703e-02  4.71210405e-02  6.39840141e-02
  2.18387246e-02 -5.29051805e-03  7.91988987e-03  1.75879449e-02
  3.41369994e-02  2.44939830e-02  7.59760337e-03 -1.26537746e-02
  2.51982920e-02  3.26340683e-02  6.24380261e-02 -6.24974770e-03
  3.93496463e+03  7.54807517e-02  6.48483378e+03]"
2,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-100210-A-36.wav,vacuum_cleaner,1.0,,"[ 2.00827103e+01  5.16961708e+01 -4.22783709e+00  1.10756493e+01
 -9.59369946e+00  9.51921844e+00  4.25231743e+00  4.95493698e+00
  6.96920204e+00 -7.75674534e+00  1.39027908e-01  1.24422922e+01
  3.98617435e+00  2.06542568e+01 -5.66164017e+00  3.86386466e+00
  4.79987478e+00 -9.86103863e-02  7.51000404e+00 -1.16815925e+00
  5.10734797e-01 -3.27536315e-01 -3.06727365e-02 -2.69464590e-02
 -1.29772117e-02  2.33272221e-02  1.40285539e-02  9.96432155e-02
  7.26091787e-02 -3.30600291e-02  6.90725446e-02  3.38350572e-02
  5.39412238e-02  5.89432418e-02 -3.36865336e-02 -5.56314625e-02
 -1.85038950e-02 -1.49879446e-02 -3.06730177e-02  9.55852494e-03
 -5.46218306e-02  1.43183589e-01  3.80138457e-02 -7.61379078e-02
 -2.35027913e-02 -4.47349548e-02  2.70717144e-02 -3.33160795e-02
 -1.00373395e-01  2.26666424e-02  2.87338141e-02 -5.53239509e-02
  3.75910550e-02 -2.92727016e-02  5.76648442e-03  9.78066865e-03
  6.78589661e-03 -2.81776045e-03 -2.37721335e-02 -1.32431760e-02
  3.59833091e+03  6.47578537e-02  7.10874837e+03]"
3,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-100210-B-36.wav,vacuum_cleaner,1.0,,"[ 2.12902260e+01  5.00152283e+01 -2.68535638e+00  9.68297863e+00
 -6.09374762e+00  9.78065968e+00  5.72295427e+00  2.96330404e+00
  6.38760948e+00 -7.70312309e+00  2.86957693e+00  1.13471117e+01
  4.45900345e+00  1.98193455e+01 -4.96805143e+00  3.85081315e+00
  5.27334261e+00  1.16742730e+00  8.20710945e+00 -1.36322844e+00
 -3.62745136e-01 -1.16276229e-02 -9.09350887e-02 -1.52074527e-02
 -2.78707817e-02 -4.24327105e-02 -4.52975444e-02 -1.20879104e-02
 -8.52858126e-02 -1.54708689e-02  9.51848552e-03 -7.21046627e-02
 -2.21124645e-02 -2.31065471e-02 -1.23706590e-02 -7.18714111e-03
 -6.53751269e-02  7.79042393e-02 -2.04362608e-02  4.80453968e-02
 -7.31877759e-02 -4.34903102e-03  1.44191720e-02 -8.78916960e-03
 -7.94191845e-03 -4.30685654e-03  5.58618270e-03  3.29300319e-03
 -1.55685386e-02 -1.12501299e-02  1.01905065e-02 -1.99856702e-03
 -3.40998024e-02  2.10696156e-03  3.82502303e-02  3.31549905e-02
 -9.41331312e-03  8.60733911e-03  6.77755708e-03 -1.44026857e-02
  3.66372010e+03  6.70800880e-02  7.29885864e+03]"
4,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-101296-A-19.wav,thunderstorm,1.0,,"[-4.18624725e+02  1.18854240e+02  4.42621384e+01  3.02866058e+01
  1.52955866e+00  5.05373049e+00 -9.57621479e+00  1.65122819e+00
  1.21007097e+00 -1.17022181e+01 -8.57824898e+00 -6.46816373e-01
 -1.04314594e+01 -2.82599092e+00 -4.44577885e+00 -5.31939602e+00
  2.25934342e-01 -6.09728193e+00 -9.78776932e+00 -1.90758848e+00
  2.99472716e-02  2.22742110e-02  3.83527018e-02  2.10347697e-02
  6.30393205e-03 -2.09117159e-02 -2.70849112e-02  1.02579519e-02
 -5.71830459e-02 -2.83927340e-02  1.38330702e-02 -3.74839306e-02
  2.76500452e-02  4.84667206e-03 -8.04634299e-03  2.12033535e-03
 -2.50867568e-02 -1.60671808e-02  1.57464538e-02  5.36116399e-03
 -7.01444000e-02 -3.19325551e-02 -3.02394703e-02 -2.17663664e-02
 -2.00336203e-02 -1.17528448e-02 -1.64426900e-02  1.08049670e-02
  2.15334017e-02  2.02457551e-02  9.46495496e-03  1.72129944e-02
  1.08752791e-02  7.01849209e-03  1.34757382e-03  8.60489719e-03
  2.38867644e-02  1.32658053e-02 -3.94013850e-03 -6.34067599e-03
  1.59340862e+03  8.64630286e-03  3.75849101e+03]"
5,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-101296-B-19.wav,thunderstorm,1.0,,"[-3.95782837e+02  1.35192490e+02  4.16817131e+01  1.97734280e+01
 -7.34940386e+00  4.20879221e+00 -7.62102413e+00  1.45389843e+00
  1.60277414e+00 -1.07410879e+01 -5.99512148e+00  3.15498888e-01
 -1.12169256e+01 -2.56705451e+00 -5.00126553e+00 -7.49467659e+00
  3.14118952e-01 -6.46196270e+00 -9.20898819e+00  3.34233902e-02
  2.63616115e-01  2.67390698e-01  1.48929194e-01  6.92990981e-03
 -1.16600938e-01 -1.38080612e-01 -1.06532611e-01 -6.35566562e-02
 -4.30014767e-02 -3.02938260e-02 -4.62147668e-02 -1.97258033e-02
  3.85888629e-02  4.41295393e-02  3.97973619e-02 -3.20725632e-03
 -2.22685598e-02 -1.80870127e-02 -7.86336418e-03 -2.58028391e-03
 -9.27266404e-02 -4.13575843e-02 -2.22650543e-02  1.02808299e-02
  1.40276086e-02  1.17442319e-02 -1.63695905e-02 -2.49554627e-02
  1.94850415e-02  2.94306520e-02  1.26810856e-02  1.90070067e-02
  1.67244114e-02  3.17558758e-02  1.85294040e-02  1.24859773e-02
  2.55960803e-02 -2.53901212e-03 -2.48128059e-03 -1.31543064e-02
  1.45227844e+03  1.03614563e-02  2.87732442e+03]"
6,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-101336-A-30.wav,door_wood_knock,1.0,,"[-4.32742554e+02  1.02596733e+02  1.62987576e+01  1.79727936e+01
  6.60780525e+00 -3.68956757e+00  7.55413175e-02  6.48907137e+00
  1.45905256e+00 -2.36331940e+00 -1.46798217e+00  1.69231892e-01
 -2.07211924e+00 -1.40691233e+00 -1.58256307e-01 -2.11977100e+00
 -3.78263187e+00 -2.78750467e+00 -1.82106173e+00 -1.10388505e+00
 -1.13956904e+00 -5.48264802e-01 -2.03143489e-02 -8.56286138e-02
 -1.74706732e-03  4.39705402e-02  8.23604241e-02  5.28242774e-02
 -8.07354376e-02 -6.02790266e-02  7.06034526e-02  2.08155848e-02
 -1.08496016e-02  2.11330783e-02 -1.22646075e-02 -2.92743579e-03
  2.33286954e-02 -5.12518883e-02  2.16395548e-03 -2.97634024e-03
 -7.79614508e-01 -2.99452543e-01  4.59654555e-02 -1.13175847e-02
 -1.06862495e-02 -6.32249750e-03  1.60735119e-02  1.83996391e-02
 -3.42428982e-02  1.35479029e-02  8.92855301e-02  2.55194828e-02
  1.33027823e-03  4.79867905e-02  2.33697798e-02  3.92205976e-02
  5.17193638e-02 -5.06644323e-03  3.48987095e-02  4.81692725e-04
  6.04716681e+02  4.04853702e-01  1.19713643e+03]"
7,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-101404-A-34.wav,can_opening,1.0,,"[-4.83953247e+02  5.71720934e+00  9.93957043e+00  1.36194401e+01
  4.24894285e+00  9.90192032e+00  1.91797371e+01  1.14191036e+01
 -2.30782226e-01  4.24339914e+00  4.33676720e+00  3.75930929e+00
  5.95222759e+00  5.48529959e+00  4.87361050e+00  2.62536502e+00
  3.66796064e+00  1.76537037e+00  5.43718624e+00  2.93754482e+00
 -3.78027111e-01 -4.37000841e-02 -9.10936669e-02 -9.39216465e-03
 -1.16793225e-02  7.08791465e-02  6.25479743e-02  7.74443448e-02
  1.44569175e-02 -8.26914310e-02  4.95242304e-04  1.56453606e-02
  2.95450687e-02 -5.76384850e-02 -6.59903232e-03 -4.73644324e-02
 -6.40967041e-02 -7.82853458e-04 -2.99414787e-02  9.71071795e-03
 -1.01198781e+00  3.61837178e-01  1.24666706e-01 -9.01600067e-03
  2.76083034e-02  1.13638202e-02  2.21976172e-02  7.92604908e-02
  7.53372088e-02 -3.44689563e-02 -2.23167706e-02  2.71843225e-02
  9.68069211e-03 -3.57465819e-02  1.94294620e-02  1.06780464e-02
  5.01084095e-03  2.48002186e-02 -3.73744778e-02  7.34041585e-03
  4.72203358e+03  1.83930889e-01  8.77024434e+03]"
8,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-103298-A-9.wav,crow,1.0,,"[-1.15270988e+02  8.38316879e+01  9.86377621e+00  1.48791723e+01
  1.38028269e+01  3.54419098e+01  1.03832483e+01  7.47037745e+00
  3.38382220e+00  1.12913904e+01  7.93102360e+00  2.80309844e+00
  7.46575499e+00  1.50196716e-01  8.13988745e-01  1.39947641e+00
  3.50998998e-01  2.61954522e+00  2.24843764e+00  1.54590940e+00
  1.00500286e-01 -3.17011982e-01 -7.79139027e-02 -7.99031183e-02
 -3.50531526e-02  2.92890519e-02 -6.62592947e-02  5.45191206e-02
 -1.64697040e-02  9.99847148e-03  4.76404205e-02 -1.87871326e-02
  6.11023195e-02  3.11337486e-02  1.14432136e-02  5.52988052e-02
 -4.99782735e-04 -5.35768084e-02 -9.13935900e-03 -2.31812173e-03
 -9.50713009e-02  2.49080993e-02  2.93201730e-02  9.53282509e-03
 -3.85074690e-02 -7.98424520e-03 -4.37833631e-04  1.62323471e-02
  3.09022935e-03  3.40953586e-03 -5.94870793e-03 -6.24378957e-03
  1.86431482e-02 -2.76961597e-03  1.22437477e-02  1.31268252e-03
 -6.76729949e-03 -3.24468710e-03 -2.86099557e-02  1.03101321e-02
  2.26979499e+03  2.59271357e-02  5.58522441e+03]"
9,/Users/viktorzozula/.cache/kagglehub/datasets/javohirtoshqorgonov/noise-audio-data/versions/1/ESC-50-master/audio/1-103995-A-30.wav,door_wood_knock,1.0,,"[-5.68096619e+02  3.89021683e+01  7.10791826e+00  2.81792092e+00
  5.66483545e+00  3.42283010e+00  3.78637075e+00  3.07874632e+00
  8.17417443e-01  2.46532083e+00  2.15089440e+00  1.89846218e+00
  2.55877209e+00  2.49607277e+00  2.03233004e+00  1.49097502e+00
  2.70694828e+00  3.30404711e+00  2.81253099e+00  2.32676148e+00
 -2.82894325e+00 -7.60589838e-01  2.30539054e-01  1.87684327e-01
  2.31895894e-02  3.55603918e-02  8.73452611e-03  5.06180106e-03
  9.56610218e-02  1.87181309e-02 -3.02368011e-02 -7.19538182e-02
 -1.19484253e-01 -1.32557318e-01 -4.49420400e-02  4.94222641e-02
 -1.17862420e-02  1.39240399e-02  5.66221401e-03 -1.11695062e-02
  3.47110331e-01 -1.65355518e-01 -1.04526341e-01 -1.01264194e-01
 -4.89066616e-02 -3.74767510e-03  5.60941966e-03 -8.13418441e-03
 -2.04512160e-02 -1.38665838e-02 -1.65686570e-02 -6.37024641e-03
  1.82150267e-02  2.45933663e-02 -2.53328559e-04 -1.31363114e-02
  1.60384178e-02 -1.00822132e-02 -2.05995943e-02 -2.29828469e-02
  2.73305334e+02  7.18754172e-01  4.46165975e+02]"
