threshold_pct,predicted_class,count,n_passing_threshold
20,Angry,508,7326
20,Defence,45,7326
20,Fighting,196,7326
20,Happy,1155,7326
20,HuntingMind,997,7326
20,Mating,1409,7326
20,MotherCall,764,7326
20,Paining,1055,7326
20,Resting,1115,7326
20,Warning,82,7326
40,Angry,467,6727
40,Defence,40,6727
40,Fighting,173,6727
40,Happy,1055,6727
40,HuntingMind,924,6727
40,Mating,1242,6727
40,MotherCall,714,6727
40,Paining,950,6727
40,Resting,1089,6727
40,Warning,73,6727
60,Angry,321,5015
60,Defence,27,5015
60,Fighting,129,5015
60,Happy,667,5015
60,HuntingMind,744,5015
60,Mating,873,5015
60,MotherCall,592,5015
60,Paining,585,5015
60,Resting,1027,5015
60,Warning,50,5015
70,Angry,264,4116
70,Defence,23,4116
70,Fighting,111,4116
70,Happy,493,4116
70,HuntingMind,646,4116
70,Mating,655,4116
70,MotherCall,538,4116
70,Paining,363,4116
70,Resting,987,4116
70,Warning,36,4116
75,Angry,232,3695
75,Defence,23,3695
75,Fighting,105,3695
75,Happy,413,3695
75,HuntingMind,587,3695
75,Mating,560,3695
75,MotherCall,510,3695
75,Paining,278,3695
75,Resting,957,3695
75,Warning,30,3695
80,Angry,193,3275
80,Defence,19,3275
80,Fighting,91,3275
80,Happy,329,3275
80,HuntingMind,526,3275
80,Mating,474,3275
80,MotherCall,480,3275
80,Paining,201,3275
80,Resting,937,3275
80,Warning,25,3275
85,Angry,161,2842
85,Defence,15,2842
85,Fighting,79,2842
85,Happy,254,2842
85,HuntingMind,475,2842
85,Mating,378,2842
85,MotherCall,429,2842
85,Paining,133,2842
85,Resting,902,2842
85,Warning,16,2842
90,Angry,134,2444
90,Defence,14,2444
90,Fighting,67,2444
90,Happy,183,2444
90,HuntingMind,410,2444
90,Mating,286,2444
90,MotherCall,384,2444
90,Paining,84,2444
90,Resting,870,2444
90,Warning,12,2444
