pair,pain_inclusive,n_train,n_val,best_epoch,val_macro_f1_binary,val_auc_roc,run_summary_rel
Angry|Paining,True,858,216,426,0.614286,0.599315,individual_binary_pairs/06_Angry_Paining__pain_finetune_8/training/run_summary.json
Defence|Paining,True,604,151,18,0.586597,0.814943,full_sweep_runs/p4_defence_paining_finetune_hparam_sweep_20260425_111428/hparams_grid/gs0002_lr1e-05_bs8_wd0.01_g2.0_cosine/binary__Defence__Paining/training/run_summary.json
Fighting|Paining,True,680,171,246,0.688562,0.731034,individual_binary_pairs/07_Fighting_Paining__pain_8_baseline/training/run_summary.json
Happy|Paining,True,1205,301,39,0.635929,0.64821,individual_binary_pairs/05_Happy_Paining__pain_finetune_8/training/run_summary.json
HuntingMind|Paining,True,1194,299,56,0.665249,0.680251,individual_binary_pairs/03_HuntingMind_Paining__pain_finetune_8/training/run_summary.json
Mating|Paining,True,1390,346,63,0.640131,0.668557,individual_binary_pairs/09_Mating_Paining__pain_finetune_8/training/run_summary.json
MotherCall|Paining,True,1073,263,137,0.636682,0.633013,individual_binary_pairs/04_MotherCall_Paining__pain_finetune_8/training/run_summary.json
Paining|Resting,True,1257,314,415,0.7606,0.820567,individual_binary_pairs/01_Paining_Resting__restsingsweep_gs0030/training/run_summary.json
Paining|Warning,True,622,155,21,0.670493,0.656552,individual_binary_pairs/02_Paining_Warning__pain_finetune_8/training/run_summary.json
Angry|Defence,False,305,76,85,0.625616,0.641667,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0011__binary__Angry__Defence__lr1e-04_bs4_wd0.05_g2.0_cosine/binary__Angry__Defence/training/run_summary.json
Angry|Fighting,False,382,95,7,0.684481,0.58,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0016__binary__Angry__Fighting__lr5e-05_bs4_wd0.01_g0.0_cosine/binary__Angry__Fighting/training/run_summary.json
Angry|Happy,False,905,227,0,0.633807,0.637489,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0038__binary__Angry__Happy__lr5e-05_bs8_wd0.05_g0.0_cosine/binary__Angry__Happy/training/run_summary.json
Angry|HuntingMind,False,897,222,35,0.625241,0.653552,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0062__binary__Angry__HuntingMind__lr1e-04_bs8_wd0.05_g0.0_cosine/binary__Angry__HuntingMind/training/run_summary.json
Angry|Mating,False,1091,271,18,0.71079,0.733973,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0067__binary__Angry__Mating__lr5e-05_bs4_wd0.05_g2.0_cosine/binary__Angry__Mating/training/run_summary.json
Angry|MotherCall,False,767,195,92,0.691734,0.688891,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0090__binary__Angry__MotherCall__lr1e-04_bs4_wd0.05_g0.0_cosine/binary__Angry__MotherCall/training/run_summary.json
Angry|Resting,False,958,239,197,0.683024,0.698014,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0099__binary__Angry__Resting__lr5e-05_bs4_wd0.05_g2.0_cosine/binary__Angry__Resting/training/run_summary.json
Angry|Warning,False,323,80,0,0.638009,0.705714,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0118__binary__Angry__Warning__lr5e-05_bs8_wd0.05_g0.0_cosine/binary__Angry__Warning/training/run_summary.json
Defence|Fighting,False,127,31,23,0.756672,0.646667,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0143__binary__Defence__Fighting__lr1e-04_bs8_wd0.05_g2.0_cosine/binary__Defence__Fighting/training/run_summary.json
Defence|Happy,False,650,163,0,0.490625,0.585987,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0159__binary__Defence__Happy__lr1e-04_bs8_wd0.05_g2.0_cosine/binary__Defence__Happy/training/run_summary.json
Defence|HuntingMind,False,640,160,112,0.615385,0.636364,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0175__binary__Defence__HuntingMind__lr1e-04_bs8_wd0.05_g2.0_cosine/binary__Defence__HuntingMind/training/run_summary.json
Defence|Mating,False,834,209,66,0.636774,0.633005,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0186__binary__Defence__Mating__lr1e-04_bs4_wd0.05_g0.0_cosine/binary__Defence__Mating/training/run_summary.json
Defence|MotherCall,False,515,128,0,0.488,0.583333,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0192__binary__Defence__MotherCall__lr5e-05_bs4_wd0.01_g0.0_cosine/binary__Defence__MotherCall/training/run_summary.json
Defence|Resting,False,703,175,92,0.635569,0.451677,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0223__binary__Defence__Resting__lr1e-04_bs8_wd0.05_g2.0_cosine/binary__Defence__Resting/training/run_summary.json
Defence|Warning,False,66,18,2,0.721362,0.675325,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0224__binary__Defence__Warning__lr5e-05_bs4_wd0.01_g0.0_cosine/binary__Defence__Warning/training/run_summary.json
Fighting|Happy,False,726,183,81,0.655738,0.71754,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0255__binary__Fighting__Happy__lr1e-04_bs8_wd0.05_g2.0_cosine/binary__Fighting__Happy/training/run_summary.json
Fighting|HuntingMind,False,716,180,226,0.784367,0.813686,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0266__binary__Fighting__HuntingMind__lr1e-04_bs4_wd0.05_g0.0_cosine/binary__Fighting__HuntingMind/training/run_summary.json
Fighting|Mating,False,911,228,50,0.698147,0.75019,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0283__binary__Fighting__Mating__lr1e-04_bs4_wd0.05_g2.0_cosine/binary__Fighting__Mating/training/run_summary.json
Fighting|MotherCall,False,591,148,135,0.768729,0.794797,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0298__binary__Fighting__MotherCall__lr1e-04_bs4_wd0.05_g0.0_cosine/binary__Fighting__MotherCall/training/run_summary.json
Fighting|Resting,False,779,195,112,0.794368,0.857988,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0318__binary__Fighting__Resting__lr1e-04_bs8_wd0.05_g0.0_cosine/binary__Fighting__Resting/training/run_summary.json
Fighting|Warning,False,144,36,292,0.777778,0.785455,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0327__binary__Fighting__Warning__lr5e-05_bs8_wd0.05_g2.0_cosine/binary__Fighting__Warning/training/run_summary.json
Happy|HuntingMind,False,1241,310,114,0.651482,0.621664,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0351__binary__Happy__HuntingMind__lr1e-04_bs8_wd0.05_g2.0_cosine/binary__Happy__HuntingMind/training/run_summary.json
Happy|Mating,False,1436,358,6,0.646166,0.648182,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0356__binary__Happy__Mating__lr5e-05_bs8_wd0.01_g0.0_cosine/binary__Happy__Mating/training/run_summary.json
Happy|MotherCall,False,1114,280,115,0.688261,0.709233,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0368__binary__Happy__MotherCall__lr5e-05_bs4_wd0.01_g0.0_cosine/binary__Happy__MotherCall/training/run_summary.json
Happy|Resting,False,1303,326,61,0.721568,0.740253,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0391__binary__Happy__Resting__lr5e-05_bs8_wd0.05_g2.0_cosine/binary__Happy__Resting/training/run_summary.json
Happy|Warning,False,668,167,90,0.65912,0.635781,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0415__binary__Happy__Warning__lr1e-04_bs8_wd0.05_g2.0_cosine/binary__Happy__Warning/training/run_summary.json
HuntingMind|Mating,False,1424,357,6,0.623153,0.625838,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0419__binary__HuntingMind__Mating__lr5e-05_bs4_wd0.05_g2.0_cosine/binary__HuntingMind__Mating/training/run_summary.json
HuntingMind|MotherCall,False,1104,277,98,0.627363,0.618757,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0436__binary__HuntingMind__MotherCall__lr5e-05_bs8_wd0.01_g0.0_cosine/binary__HuntingMind__MotherCall/training/run_summary.json
HuntingMind|Resting,False,1293,323,59,0.626772,0.595289,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0458__binary__HuntingMind__Resting__lr1e-04_bs4_wd0.05_g0.0_cosine/binary__HuntingMind__Resting/training/run_summary.json
HuntingMind|Warning,False,658,164,43,0.576714,0.573052,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0479__binary__HuntingMind__Warning__lr1e-04_bs8_wd0.05_g2.0_cosine/binary__HuntingMind__Warning/training/run_summary.json
Mating|MotherCall,False,1298,326,180,0.646629,0.666306,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0487__binary__Mating__MotherCall__lr5e-05_bs8_wd0.05_g2.0_cosine/binary__Mating__MotherCall/training/run_summary.json
Mating|Resting,False,1487,372,11,0.609356,0.604177,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0508__binary__Mating__Resting__lr1e-04_bs8_wd0.01_g0.0_cosine/binary__Mating__Resting/training/run_summary.json
Mating|Warning,False,849,216,0,0.485714,0.554943,full_sweep_runs/p4_nonpain36_grid_16_20260424_211353/hparams_grid/gs0512__binary__Mating__Warning__lr5e-05_bs4_wd0.01_g0.0_cosine/binary__Mating__Warning/training/run_summary.json
